Inicio de programa
T: [18:00] --> Temperatura: 21.20ºC | Humedad relativa: 74.00% | Humedad absoluta: 13.71 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Evaluando...
T: [18:15] --> Temperatura: 21.10ºC | Humedad relativa: 73.00% | Humedad absoluta: 13.45 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Evaluando...
T: [18:30] --> Temperatura: 21.00ºC | Humedad relativa: 73.00% | Humedad absoluta: 13.37 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Evaluando...
T: [18:45] --> Temperatura: 20.90ºC | Humedad relativa: 73.00% | Humedad absoluta: 13.29 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Evaluando...
T: [19:00] --> Temperatura: 20.80ºC | Humedad relativa: 71.00% | Humedad absoluta: 12.85 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Evaluando...
T: [19:15] --> Temperatura: 20.80ºC | Humedad relativa: 70.00% | Humedad absoluta: 12.67 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Evaluando...
T: [19:30] --> Temperatura: 20.70ºC | Humedad relativa: 69.00% | Humedad absoluta: 12.42 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Evaluando...
T: [19:45] --> Temperatura: 20.60ºC | Humedad relativa: 68.00% | Humedad absoluta: 12.17 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Evaluando...
T: [20:00] --> Temperatura: 20.60ºC | Humedad relativa: 68.00% | Humedad absoluta: 12.17 g/m3 | Lecturas iguales: 1 | Fallos acumulados: 0 | Evaluando...
T: [20:15] --> Temperatura: 20.50ºC | Humedad relativa: 67.00% | Humedad absoluta: 11.92 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Evaluando...
T: [20:30] --> Temperatura: 20.50ºC | Humedad relativa: 68.00% | Humedad absoluta: 12.10 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Evaluando...
T: [20:45] --> Temperatura: 20.50ºC | Humedad relativa: 68.00% | Humedad absoluta: 12.10 g/m3 | Lecturas iguales: 1 | Fallos acumulados: 0 | Evaluando...
T: [21:00] --> Temperatura: 20.40ºC | Humedad relativa: 69.00% | Humedad absoluta: 12.20 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Evaluando...
T: [21:15] --> Temperatura: 20.40ºC | Humedad relativa: 69.00% | Humedad absoluta: 12.20 g/m3 | Lecturas iguales: 1 | Fallos acumulados: 0 | Evaluando...
T: [21:30] --> Temperatura: 20.30ºC | Humedad relativa: 70.00% | Humedad absoluta: 12.31 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Evaluando...
T: [21:45] --> Temperatura: 20.30ºC | Humedad relativa: 70.00% | Humedad absoluta: 12.31 g/m3 | Lecturas iguales: 1 | Fallos acumulados: 0 | Evaluando...
T: [22:00] --> Temperatura: 20.20ºC | Humedad relativa: 70.00% | Humedad absoluta: 12.24 g/m3 | Lecturas iguales: 2 | Fallos acumulados: 0 | Evaluando...
T: [22:15] --> Temperatura: 20.20ºC | Humedad relativa: 70.00% | Humedad absoluta: 12.24 g/m3 | Lecturas iguales: 3 | Fallos acumulados: 0 | Evaluando...
T: [22:30] --> Temperatura: 20.20ºC | Humedad relativa: 70.00% | Humedad absoluta: 12.24 g/m3 | Lecturas iguales: 4 | Fallos acumulados: 0 | Evaluando...
T: [22:45] --> Temperatura: 20.10ºC | Humedad relativa: 70.00% | Humedad absoluta: 12.17 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Evaluando...
