Inicio de programa
T: [4:44] --> Temperatura: 22.80ºC | Humedad relativa: 85.00% | Humedad absoluta: 17.27 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [4:59] --> Temperatura: 22.90ºC | Humedad relativa: 84.40% | Humedad absoluta: 17.25 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [5:14] --> Temperatura: 22.90ºC | Humedad relativa: 84.00% | Humedad absoluta: 17.17 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [5:29] --> Error de lectura. Fallos acumulados: 1 | Esperando...
T: [5:44] --> Temperatura: 23.00ºC | Humedad relativa: 83.30% | Humedad absoluta: 17.12 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [5:59] --> Temperatura: 23.00ºC | Humedad relativa: 83.30% | Humedad absoluta: 17.12 g/m3 | Lecturas iguales: 1 | Fallos acumulados: 0 | Esperando...
T: [6:14] --> Temperatura: 22.90ºC | Humedad relativa: 83.20% | Humedad absoluta: 17.00 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [6:29] --> Temperatura: 22.90ºC | Humedad relativa: 83.10% | Humedad absoluta: 16.98 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [6:44] --> Temperatura: 22.80ºC | Humedad relativa: 83.20% | Humedad absoluta: 16.91 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [6:59] --> Temperatura: 22.80ºC | Humedad relativa: 83.10% | Humedad absoluta: 16.89 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [7:14] --> Temperatura: 22.80ºC | Humedad relativa: 83.10% | Humedad absoluta: 16.89 g/m3 | Lecturas iguales: 1 | Fallos acumulados: 0 | Esperando...
T: [7:29] --> Temperatura: 22.70ºC | Humedad relativa: 82.90% | Humedad absoluta: 16.75 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [7:44] --> Temperatura: 22.60ºC | Humedad relativa: 82.70% | Humedad absoluta: 16.61 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [7:59] --> Temperatura: 22.60ºC | Humedad relativa: 83.10% | Humedad absoluta: 16.69 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [8:14] --> Temperatura: 22.50ºC | Humedad relativa: 83.20% | Humedad absoluta: 16.62 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [8:29] --> Temperatura: 22.50ºC | Humedad relativa: 84.10% | Humedad absoluta: 16.80 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [8:44] --> Temperatura: 22.40ºC | Humedad relativa: 84.10% | Humedad absoluta: 16.70 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [8:59] --> Temperatura: 22.40ºC | Humedad relativa: 84.20% | Humedad absoluta: 16.72 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [9:14] --> Temperatura: 22.30ºC | Humedad relativa: 84.40% | Humedad absoluta: 16.67 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [9:29] --> Temperatura: 22.30ºC | Humedad relativa: 84.50% | Humedad absoluta: 16.68 g/m3 | Lecturas iguales: 1 | Fallos acumulados: 0 | Esperando...
T: [9:44] --> Temperatura: 22.20ºC | Humedad relativa: 84.60% | Humedad absoluta: 16.61 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [9:59] --> Temperatura: 22.20ºC | Humedad relativa: 84.70% | Humedad absoluta: 16.63 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [10:14] --> Temperatura: 22.20ºC | Humedad relativa: 84.60% | Humedad absoluta: 16.61 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [10:29] --> Temperatura: 22.10ºC | Humedad relativa: 84.60% | Humedad absoluta: 16.51 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [10:44] --> Temperatura: 22.10ºC | Humedad relativa: 84.30% | Humedad absoluta: 16.45 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [10:59] --> Temperatura: 22.00ºC | Humedad relativa: 84.20% | Humedad absoluta: 16.34 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [11:14] --> Temperatura: 22.00ºC | Humedad relativa: 83.60% | Humedad absoluta: 16.22 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [11:29] --> Temperatura: 21.90ºC | Humedad relativa: 82.80% | Humedad absoluta: 15.98 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [11:44] --> Temperatura: 21.90ºC | Humedad relativa: 82.80% | Humedad absoluta: 15.98 g/m3 | Lecturas iguales: 1 | Fallos acumulados: 0 | Esperando...
T: [11:59] --> Temperatura: 21.80ºC | Humedad relativa: 81.50% | Humedad absoluta: 15.64 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [12:14] --> Temperatura: 21.80ºC | Humedad relativa: 80.80% | Humedad absoluta: 15.50 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [12:29] --> Temperatura: 21.70ºC | Humedad relativa: 80.50% | Humedad absoluta: 15.35 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [12:44] --> Temperatura: 21.70ºC | Humedad relativa: 80.20% | Humedad absoluta: 15.30 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [12:59] --> Temperatura: 21.60ºC | Humedad relativa: 79.70% | Humedad absoluta: 15.11 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [13:14] --> Temperatura: 21.60ºC | Humedad relativa: 78.60% | Humedad absoluta: 14.91 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [13:29] --> Temperatura: 21.60ºC | Humedad relativa: 78.90% | Humedad absoluta: 14.96 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [13:44] --> Temperatura: 21.50ºC | Humedad relativa: 78.30% | Humedad absoluta: 14.76 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [13:59] --> Temperatura: 21.40ºC | Humedad relativa: 77.30% | Humedad absoluta: 14.49 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
